λ_BAexp,p_BAexp_MPa,λT_BAexp
0.95,-0.01367,1.0114
0.8999999999999999,-0.02599,1.02424
0.8499999999999999,-0.03604,1.03572
0.7999999999999998,-0.04733,1.04622
0.7499999999999998,-0.060360000000000004,1.0583
0.6999999999999997,-0.07582,1.07102
0.6499999999999997,-0.09605,1.08434
0.5999999999999996,-0.12313,1.09924
0.5499999999999996,-0.16603,1.11502
