λ_UAexp,p_UAexp_MPa,λT_UAexp
0.95,-0.0091,1.0057
0.8999999999999999,-0.0173,1.01212
0.8499999999999999,-0.026000000000000002,1.01786
0.7999999999999998,-0.0338,1.02311
0.7499999999999998,-0.041409999999999995,1.02915
0.6999999999999997,-0.05036,1.03551
0.6499999999999997,-0.06115,1.04217
0.5999999999999996,-0.07404000000000001,1.04962
0.5499999999999996,-0.08957,1.05751
0.49999999999999956,-0.10867,1.06596
0.4499999999999995,-0.13254,1.07543
0.39999999999999947,-0.16349000000000002,1.08615
0.3499999999999994,-0.20491,1.09849
0.2999999999999994,-0.26343,1.11285
0.24999999999999933,-0.35357,1.12816
